date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-04-20 00:00:00+00:00,276.93,281.68,276.85,277.95,32503750,66.9843889827,68.133328598,66.9650384208,67.2311086475,130015000,0.0,1.0
2020-04-21 00:00:00+00:00,268.37,277.25,265.43,276.28,45247893,64.9138788549,67.0617912305,64.2027457036,66.827165667,180991572,0.0,1.0
2020-04-22 00:00:00+00:00,276.1,277.9,272.2,273.61,29264342,66.7836269026,67.2190145463,65.8402870079,66.1813406621,117057368,0.0,1.0
2020-04-23 00:00:00+00:00,275.03,281.75,274.87,275.87,31203582,66.5248131366,68.1502603397,66.4861120127,66.727994037,124814328,0.0,1.0
2020-04-24 00:00:00+00:00,282.97,283.01,277.0,277.2,31627183,68.4453564094,68.4550316903,67.0013207244,67.0496971293,126508732,0.0,1.0
2020-04-27 00:00:00+00:00,283.17,284.54,279.95,281.8,29271893,68.4937328142,68.8251111875,67.714872696,68.162354441,117087572,0.0,1.0
2020-04-28 00:00:00+00:00,278.58,285.83,278.2,285.08,28001187,67.3834943228,69.1371389988,67.2915791536,68.9557274806,112004748,0.0,1.0
2020-04-29 00:00:00+00:00,287.73,289.67,283.89,284.73,34320204,69.5967148449,70.065965972,68.6678878717,68.8710687721,137280816,0.0,1.0
2020-04-30 00:00:00+00:00,293.8,294.53,288.35,289.96,45765968,71.0649387323,71.24151261,69.7466817,70.136111759,183063872,0.0,1.0
2020-05-01 00:00:00+00:00,289.07,299.0,285.85,286.25,60154175,69.9208367574,72.3227252585,69.1419766393,69.238729449,240616700,0.0,1.0
2020-05-04 00:00:00+00:00,293.16,293.69,286.32,289.17,33391986,70.9101342367,71.0383317096,69.2556611907,69.9450249599,133567944,0.0,1.0
2020-05-05 00:00:00+00:00,297.56,301.0,294.46,295.06,36937795,71.9744151435,72.8064893071,71.2245808683,71.3697100829,147751180,0.0,1.0
2020-05-06 00:00:00+00:00,300.63,303.24,298.87,300.46,35583438,72.7169929581,73.3483050414,72.2912805953,72.6758730139,142333752,0.0,1.0
2020-05-07 00:00:00+00:00,303.74,305.17,301.97,303.22,28803764,73.4692460536,73.8151373483,73.0411148706,73.3434674009,115215056,0.0,1.0
2020-05-08 00:00:00+00:00,310.13,310.35,304.29,305.64,33511985,75.2132154486,75.2665701947,73.796889462,74.1242935856,134047940,0.82,1.0
2020-05-11 00:00:00+00:00,315.01,317.05,307.24,308.1,36486561,76.3967207251,76.8914647341,74.5123281025,74.7208966553,145946244,0.0,1.0
2020-05-12 00:00:00+00:00,311.41,319.69,310.91,317.83,40575263,75.5236430621,77.5317216869,75.4023822756,77.0806315611,162301052,0.0,1.0
2020-05-13 00:00:00+00:00,307.65,315.95,303.21,312.15,50155639,74.6117619474,76.6246910037,73.5349661631,75.7031090262,200622556,0.0,1.0
2020-05-14 00:00:00+00:00,309.54,309.79,301.53,304.51,39732269,75.0701277205,75.1307581138,73.1275299204,73.8502442081,158929076,0.0,1.0
2020-05-15 00:00:00+00:00,307.71,307.9,300.21,300.35,41587094,74.6263132418,74.6723923407,72.807401444,72.8413544642,166348376,0.0,1.0
2020-05-18 00:00:00+00:00,314.96,316.5,310.32,313.17,33843125,76.3845946464,76.7580778689,75.2592945475,75.9504810307,135372500,0.0,1.0
2020-05-19 00:00:00+00:00,313.14,318.52,313.01,315.03,25432385,75.9432053835,77.2479714465,75.911677579,76.4015711565,101729540,0.0,1.0
2020-05-20 00:00:00+00:00,319.23,319.52,316.52,316.68,27876215,77.4201617633,77.4904930195,76.7629283004,76.801731752,111504860,0.0,1.0
2020-05-21 00:00:00+00:00,316.85,320.89,315.87,318.66,25672211,76.8429604195,77.8227475746,76.6052892779,77.2819244667,102688844,0.0,1.0
2020-05-22 00:00:00+00:00,318.89,319.23,315.35,315.77,20450754,77.3377044285,77.4201617633,76.4791780599,76.5810371206,81803016,0.0,1.0
2020-05-26 00:00:00+00:00,316.73,324.24,316.5,323.5,31380454,76.8138578307,78.6351948443,76.7580778689,78.4557288802,125521816,0.0,1.0
2020-05-27 00:00:00+00:00,318.11,318.71,313.09,316.14,28236274,77.1485376015,77.2940505453,75.9310793048,76.6707701026,112945096,0.0,1.0
2020-05-28 00:00:00+00:00,318.25,323.44,315.63,316.77,33449103,77.1824906217,78.4411775858,76.5470841004,76.8235586936,133796412,0.0,1.0
2020-05-29 00:00:00+00:00,317.94,321.15,316.47,319.25,38399532,77.1073089341,77.8858031836,76.7508022217,77.4250121948,153598128,0.0,1.0
2020-06-01 00:00:00+00:00,321.85,322.35,317.21,317.75,20254653,78.0555682847,78.1768290712,76.9302681858,77.0612298352,81018612,0.0,1.0
2020-06-02 00:00:00+00:00,323.34,323.44,318.93,320.75,21910704,78.4169254285,78.4411775858,77.3474052914,77.7887945543,87642816,0.0,1.0
2020-06-03 00:00:00+00:00,325.12,326.2,322.3,324.66,26122804,78.8486138286,79.1105371274,78.1647029926,78.737053905,104491216,0.0,1.0
2020-06-04 00:00:00+00:00,322.32,325.62,320.78,324.39,21890091,78.169553424,78.9698746151,77.7960702015,78.6715730802,87560364,0.0,1.0
2020-06-05 00:00:00+00:00,331.5,331.75,323.23,323.35,34312550,80.3959014646,80.4565318578,78.3902480555,78.4193506443,137250200,0.0,1.0
2020-06-08 00:00:00+00:00,333.46,333.6,327.32,330.25,23913634,80.8712437478,80.905196768,79.3821612893,80.0927494983,95654536,0.0,1.0
2020-06-09 00:00:00+00:00,343.99,345.61,332.01,332.14,36928091,83.4249959119,83.8178808603,80.5195874668,80.5511152713,147712364,0.0,1.0
2020-06-10 00:00:00+00:00,352.84,354.77,346.09,347.9,41662938,85.5713118334,86.0393784694,83.9342912153,84.3732552625,166651752,0.0,1.0
2020-06-11 00:00:00+00:00,335.9,351.06,335.48,349.31,50415613,81.462996386,85.1396234334,81.3611373253,84.7152106805,201662452,0.0,1.0
2020-06-12 00:00:00+00:00,338.8,347.8,334.22,344.72,50036513,82.1663089478,84.3490031052,81.0555601433,83.6020366602,200146052,0.0,1.0
2020-06-15 00:00:00+00:00,342.99,345.68,332.58,333.25,34702230,83.1824743389,83.8348573704,80.6578247635,80.8203142174,138808920,0.0,1.0
2020-06-16 00:00:00+00:00,352.08,353.2,344.72,351.46,41357182,85.3869954379,85.6586195997,83.6020366602,85.2366320626,165428728,0.0,1.0
2020-06-17 00:00:00+00:00,351.59,355.4,351.09,355.15,28601626,85.2681598671,86.1921670604,85.1468990805,86.1315366671,114406504,0.0,1.0
2020-06-18 00:00:00+00:00,351.73,353.45,349.22,351.41,24205096,85.3021128873,85.7192499929,84.6933837389,85.2245059839,96820384,0.0,1.0
2020-06-19 00:00:00+00:00,349.72,356.56,345.15,354.64,66118952,84.8146445255,86.4734920851,83.7063209367,86.0078506649,264475808,0.0,1.0
2020-06-22 00:00:00+00:00,358.87,359.46,351.15,351.34,33861316,87.0337169188,87.1768046469,85.1614503749,85.2075294738,135445264,0.0,1.0
2020-06-23 00:00:00+00:00,366.53,372.38,362.27,364.0,53038869,88.8914321684,90.3101833707,87.8582902672,88.2778525886,212155476,0.0,1.0
2020-06-24 00:00:00+00:00,360.06,368.79,358.52,365.0,48155849,87.3223175908,89.4395309235,86.9488343683,88.5203741616,192623396,0.0,1.0
2020-06-25 00:00:00+00:00,364.84,365.0,357.57,360.7,34380628,88.4815707099,88.5203741616,86.7184388739,87.4775313975,137522512,0.0,1.0
2020-06-26 00:00:00+00:00,353.63,365.32,353.02,364.41,51314211,85.7629038761,88.597981065,85.6149657165,88.3772864335,205256844,0.0,1.0
2020-06-29 00:00:00+00:00,361.78,362.1736,351.28,353.25,32661519,87.7394546964,87.8349111876,85.1929781794,85.6707456783,130646076,0.0,1.0
2020-06-30 00:00:00+00:00,364.8,365.98,360.0,360.08,35055821,88.471869847,88.7580453032,87.3077662964,87.3271680222,140223284,0.0,1.0
2020-07-01 00:00:00+00:00,364.11,367.36,363.91,365.12,27690454,88.3045299616,89.092725074,88.256025647,88.5494767504,110761816,0.0,1.0
2020-07-02 00:00:00+00:00,364.11,370.47,363.64,367.85,28814516,88.3045299616,89.8469671662,88.1905448223,89.2115606448,115258064,0.0,1.0
2020-07-06 00:00:00+00:00,373.85,375.78,369.87,370.0,29745936,90.6666900831,91.134756719,89.7014542223,89.7329820268,118983744,0.0,1.0
2020-07-07 00:00:00+00:00,372.69,378.62,372.23,375.41,28206999,90.3853650583,91.8235179865,90.2738051347,91.045023737,112827996,0.0,1.0
2020-07-08 00:00:00+00:00,381.37,381.5,376.36,376.72,29274479,92.4904523124,92.5219801169,91.2754192314,91.3627269977,117097916,0.0,1.0
2020-07-09 00:00:00+00:00,383.01,385.27,378.69,385.05,31420357,92.8881876922,93.4362864472,91.8404944966,93.3829317012,125681428,0.0,1.0
2020-07-10 00:00:00+00:00,383.68,383.92,378.82,381.34,22564330,93.0506771461,93.1088823236,91.8720223011,92.4831766652,90257320,0.0,1.0
2020-07-13 00:00:00+00:00,381.91,399.82,381.03,389.06,47913079,92.6214139618,96.9649753351,92.4079949775,94.3554432091,191652316,0.0,1.0
2020-07-14 00:00:00+00:00,388.23,389.02,375.51,379.36,42748119,94.1541503035,94.3457423462,91.0692758943,92.0029839505,170992476,0.0,1.0
2020-07-15 00:00:00+00:00,390.9,396.99,385.96,395.96,38306874,94.8016829035,96.2786392833,93.6036263326,96.0288420631,153227496,0.0,1.0
2020-07-16 00:00:00+00:00,386.09,389.62,383.62,386.25,27645927,93.6351541371,94.49125529,93.0361258517,93.6739575888,110583708,0.0,1.0
2020-07-17 00:00:00+00:00,385.31,388.59,383.36,387.95,23046755,93.4459873102,94.2414580698,92.9730702427,94.086244263,92187020,0.0,1.0
2020-07-20 00:00:00+00:00,393.43,394.0,384.25,385.67,22397208,95.4152624833,95.5534997799,93.1889144427,93.5332950765,89588832,0.0,1.0
2020-07-21 00:00:00+00:00,388.0,397.0,386.97,396.69,25627347,94.0983703417,96.2810644991,93.8485731214,96.2058828114,102509388,0.0,1.0
2020-07-22 00:00:00+00:00,389.09,391.9,386.41,386.77,22250413,94.3627188563,95.0442044765,93.7127610405,93.8000688068,89001652,0.0,1.0
2020-07-23 00:00:00+00:00,371.38,388.31,368.039,387.9935,49251108,90.0676617976,94.1735520293,89.2573972221,94.0967939514,197004432,0.0,1.0
2020-07-24 00:00:00+00:00,370.46,371.88,356.58,363.95,46359716,89.8445419504,90.1889225842,86.4783425166,88.2657265099,185438864,0.0,1.0
2020-07-27 00:00:00+00:00,379.24,379.62,373.92,374.84,30303548,91.9738813618,92.0660395595,90.6836665932,90.9067864404,121214192,0.0,1.0
2020-07-28 00:00:00+00:00,373.01,378.1986,372.99,377.47,25906375,90.4629719617,91.7213193956,90.4581215302,91.5446181775,103625500,0.0,1.0
2020-07-29 00:00:00+00:00,380.16,380.92,374.85,375.0,22582314,92.197001209,92.3813176045,90.9092116561,90.9455898921,90329256,0.0,1.0
2020-07-30 00:00:00+00:00,384.76,385.19,375.07,376.75,39532505,93.312600445,93.4168847214,90.9625664022,91.3700026449,158130020,0.0,1.0
2020-07-31 00:00:00+00:00,425.04,425.66,403.3,411.535,93573867,103.0813694073,103.2317327825,97.8089504093,99.8061155633,374295468,0.0,1.0
2020-08-03 00:00:00+00:00,435.75,446.5457,431.57,432.8,77037847,105.6787754546,108.2969656007,104.6650352792,104.9633368141,308151388,0.0,1.0
2020-08-04 00:00:00+00:00,438.66,443.16,433.55,436.53,43198092,106.3845132321,107.4758603108,105.1452279939,105.8679422816,172792368,0.0,1.0
2020-08-05 00:00:00+00:00,440.25,441.57,435.59,437.51,30497988,106.7701225333,107.0902510097,105.6399720029,106.1056134231,121991952,0.0,1.0
2020-08-06 00:00:00+00:00,455.61,457.65,439.19,441.62,50607225,110.4952538953,110.9899979043,106.5130496659,107.1023770884,202428900,0.0,1.0
2020-08-07 00:00:00+00:00,444.45,454.7,441.17,452.82,49511403,107.98758083,110.4780132825,107.1906424452,110.0212315253,198045612,0.82,1.0
2020-08-10 00:00:00+00:00,450.91,455.1,440.0,450.4,53100856,109.5571606976,110.5752008904,106.9063686921,109.4332464975,212403424,0.0,1.0
2020-08-11 00:00:00+00:00,437.5,449.93,436.4267,447.875,46975594,106.2989461427,109.3190510582,106.0381674938,108.8197497226,187902376,0.0,1.0
2020-08-12 00:00:00+00:00,452.04,453.1,441.19,441.99,41486205,109.8317156899,110.0892628508,107.1955018256,107.3898770414,165944820,0.0,1.0
2020-08-13 00:00:00+00:00,460.04,464.17,455.71,457.72,52520516,111.7754678479,112.7789298995,110.7234119924,111.2117797221,210082064,0.0,1.0
2020-08-14 00:00:00+00:00,459.63,460.0,452.18,459.315,41391302,111.6758505498,111.7657490872,109.8657313527,111.5993153086,165565208,0.0,1.0
2020-08-17 00:00:00+00:00,458.43,464.35,455.8501,464.25,29431414,111.3842877261,112.8226643231,110.7574519521,112.7983674211,117725656,0.0,1.0
2020-08-18 00:00:00+00:00,462.25,464.0,456.03,457.41,26408385,112.3124293816,112.7376251662,110.8011620787,111.136459326,105633540,0.0,1.0
2020-08-19 00:00:00+00:00,462.83,468.65,462.44,463.933,36384502,112.4533514131,113.867431108,112.3585934954,112.7213462419,145538008,0.0,1.0
